masked,cluster,original_examples,original_count
/image/<NUM>?name=<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/33754?name=2050-11.jpg&wh=200x200|||/image/29128?name=704-1.jpg&wh=200x200,2
/image/<NUM>?name=des-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/32837?name=des-3600-1111.jpg&wh=200x200,1
/image/<NUM>?name=<NUM>-<NUM>-fw.jpg&wh=<NUM>x<NUM>,11,/image/11947?name=11947-1-fw.jpg&wh=200x200,1
/image/<NUM>?name=janome-<NUM>-w.jpg&wh=<NUM>x<NUM>,11,/image/20123?name=janome-8200-w.jpg&wh=200x200,1
/image/<NUM>?name=janome-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/30832?name=janome-1920-01.jpg&wh=200x200,1
/image/<NUM>?name=elite-new-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/32931?name=elite-new-66.jpg&wh=200x200,1
/image/<NUM>?name=m<NUM>a-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/34187?name=m12a-1.jpg&wh=200x200,1
/image/<NUM>?name=model-b<NUM>u-<NUM>-.jpg&wh=<NUM>x<NUM>,11,/image/33888?name=model-b2048u-1-.jpg&wh=200x200,1
/image/<NUM>?name=mfp-m<NUM>a-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/34185?name=mfp-m130a-1.jpg&wh=200x200,1
/image/<NUM>?name=photo_<NUM>-<NUM>-<NUM>_<NUM>-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/29389?name=photo_2015-11-21_10-14-14.jpg&wh=200x200,1
/image/<NUM>?name=ms<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/32745?name=ms506-14.jpg&wh=200x200,1
/image/<NUM>?name=tm-<NUM>sp-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/33717?name=tm-3500sp-1.jpg&wh=200x200,1
/image/<NUM>?name=samsung-galaxy-s<NUM>-plus-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/31042?name=samsung-galaxy-s8-plus-3.jpg&wh=200x200,1
/image/<NUM>?name=sxp<NUM>_<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/31790?name=sxp450_11.jpg&wh=200x200,1
/image/<NUM>?name=samsung-galaxy-s<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/31041?name=samsung-galaxy-s8-8.jpg&wh=200x200,1
/image/<NUM>?name=r<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/34241?name=r402-1.jpg&wh=200x200,1
/image/<NUM>?name=<NUM>f<NUM>fhn-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/32278?name=24f390fhn-11.jpg&wh=200x200,1
/image/<NUM>?name=<NUM>plus-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/33755?name=9400plus-11.jpg&wh=200x200,1
/image/<NUM>?name=eb-x<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,11,/image/32756?name=eb-x05-11.jpg&wh=200x200|||/image/32757?name=eb-x41-4.jpg&wh=200x200,2
